Time,INa,IKr,IKs,Ito1,IK1,IKp,INaCa,INaK,IpCa,ICab,INab,ICa,JDHPR,Jup,Jtrpn,Jtr,Jxfer,IKv43,IKv14,IKv14_K,IKv14_Na,Ito2,Istim,Itot
10.001,-1.47896e-07,1.17416e-07,-0.00102677,-1.27132e-07,0.200119,7.77077e-11,-0.123414,0.148217,0.00680292,-0.0557695,-0.16119,0,-0,6.0627e-06,-1.83623e-06,7.12783e-06,1.00043e-05,9.41495e-11,-1.27226e-07,4.04564e-09,-1.31272e-07,-0.0128474,0,0.000890925
10.002,-1.47863e-07,1.17336e-07,-0.00102679,-1.27158e-07,0.199974,7.76451e-11,-0.123389,0.148216,0.00680202,-0.0557702,-0.161191,0,-0,6.04971e-06,-1.90038e-06,7.1176e-06,1.00823e-05,9.40664e-11,-1.27252e-07,4.04335e-09,-1.31295e-07,-0.0146828,0,-0.0010667
10.003,-1.47996e-07,1.17727e-07,-0.00102663,-1.27265e-07,0.200619,7.79246e-11,-0.123421,0.148221,0.00680327,-0.0557689,-0.161189,0,-0,6.07311e-06,-1.81536e-06,7.19323e-06,1.15451e-05,9.44147e-11,-1.2736e-07,4.06065e-09,-1.3142e-07,-0.0146822,0,-0.000443582
10.004,-1.48084e-07,1.1796e-07,-0.00102653,-1.27354e-07,0.200998,7.80888e-11,-0.123486,0.148224,0.00680559,-0.0557671,-0.161188,0,-0,6.11481e-06,-1.6608e-06,7.29553e-06,1.23599e-05,9.46409e-11,-1.27448e-07,4.07164e-09,-1.3152e-07,-0.0110114,0,0.00354908
10.005,-1.47846e-07,1.17316e-07,-0.00102677,-1.27278e-07,0.199912,7.76182e-11,-0.123595,0.148216,0.00680909,-0.0557657,-0.161191,0,-0,6.17655e-06,-1.43276e-06,7.437e-06,1.29728e-05,9.40337e-11,-1.27372e-07,4.04583e-09,-1.31418e-07,-0.0128475,0,0.000511254
10.006,-1.48141e-07,1.18138e-07,-0.00102644,-1.27465e-07,0.201278,7.821e-11,-0.123666,0.148227,0.00681181,-0.0557629,-0.161187,0,-0,6.22521e-06,-1.26866e-06,7.5317e-06,1.18354e-05,9.47869e-11,-1.2756e-07,4.08124e-09,-1.31641e-07,-0.0128465,0,0.00182788
10.007,-1.48312e-07,1.18658e-07,-0.00102623,-1.27587e-07,0.202135,7.8582e-11,-0.123673,0.148234,0.00681224,-0.055762,-0.161184,0,-0,6.23527e-06,-1.267e-06,7.5329e-06,1.01157e-05,9.52566e-11,-1.27682e-07,4.10367e-09,-1.31786e-07,-0.0220214,0,-0.00648609
10.008,-1.48661e-07,1.19632e-07,-0.00102585,-1.27805e-07,0.203743,7.92807e-11,-0.123569,0.148246,0.00680901,-0.0557629,-0.16118,0,-0,6.18334e-06,-1.51382e-06,7.40376e-06,8.34055e-06,9.61736e-11,-1.27901e-07,4.14553e-09,-1.32047e-07,-0.0183494,0,-0.00108801
10.009,-1.48513e-07,1.1919e-07,-0.00102603,-1.27779e-07,0.202985,7.89509e-11,-0.123429,0.14824,0.00680405,-0.0557667,-0.161182,0,-0,6.10206e-06,-1.86604e-06,7.22602e-06,7.40408e-06,9.57767e-11,-1.27875e-07,4.12825e-09,-1.32003e-07,-0.00734009,0,0.00928557
10.01,-1.48245e-07,1.18485e-07,-0.00102631,-1.27693e-07,0.201791,7.84325e-11,-0.123283,0.148231,0.00679878,-0.0557709,-0.161185,0,-0,6.01535e-06,-2.22302e-06,7.04324e-06,6.80913e-06,9.51017e-11,-1.27788e-07,4.09963e-09,-1.31888e-07,-0.00734061,-100,-99.9918
