Time,CaSSavg,CaJSRavg,JRyRtot,PRyR_open,PRyR_ready,PNorm_mode,PnotVinact,PLType_open,CaToT2,PIto2_open,CaJSRtot,CaSStot
0.001,0.000210635,0.966815,5.12402e-06,0.000333333,0.5855,0.994,0.947167,0,11.6573,0.00166667,0.000805138,6.10394
0.002,0.00021747,1.00215,5.29222e-06,0.000333333,0.586133,0.993333,0.947167,0,11.6571,0.00166667,0.000829201,6.20453
0.003,0.000217915,1.0297,5.41937e-06,0.000333333,0.586633,0.993167,0.947167,0,11.6569,0.000833333,0.000826938,6.2807
0.004,0.000212612,1.05092,4.98337e-06,0.0003,0.587033,0.993167,0.947167,0,11.6567,0.00133333,0.000813925,6.33809
0.005,0.000209467,1.06685,5.13343e-06,0.0003,0.587733,0.9935,0.947333,0,11.6565,0.000333333,0.000804222,6.38045
0.006,0.000204457,1.07899,4.54762e-06,0.000266667,0.588333,0.993667,0.947333,0,11.6563,0.00116667,0.000791369,6.41235
0.007,0.000201908,1.08821,4.59291e-06,0.000266667,0.588833,0.993833,0.947667,0,11.6562,0.0015,0.000780967,6.43632
0.008,0.000197364,1.09517,4.06055e-06,0.000233333,0.589133,0.994167,0.947667,0,11.656,0.0015,0.000769577,6.45433
0.009,0.000198635,1.10042,4.74653e-06,0.000266667,0.589633,0.994167,0.947833,0,11.6558,0.001,0.000765811,6.46783
0.01,0.000197437,1.10436,4.76064e-06,0.000266667,0.590233,0.994333,0.948,0,11.6556,0.001,0.000760459,6.47791
0.011,0.00019704,1.10732,4.77093e-06,0.000266667,0.590767,0.994167,0.946167,0.00766667,11.6557,0.00233333,0.000758565,6.48547
0.012,0.000301415,1.10957,6.05065e-06,0.000333333,0.591233,0.993,0.938333,0.190333,11.6571,0.001,0.00111361,6.4912
0.013,0.000847367,1.11133,1.20265e-05,0.000633333,0.591333,0.991167,0.933167,0.283,11.661,0.003,0.00267218,6.49568
0.014,0.00172557,1.11243,6.0761e-05,0.0031,0.589333,0.988333,0.929333,0.278167,11.6684,0.0115,0.00431697,6.49847
0.015,0.00266543,1.11229,0.000174705,0.00906667,0.5833,0.982833,0.924667,0.2705,11.6771,0.015,0.00532273,6.49809
0.016,0.00369789,1.1105,0.000359186,0.0189333,0.5726,0.9755,0.917167,0.264,11.6866,0.0216667,0.00601855,6.49337
0.017,0.0047864,1.10671,0.000572772,0.0308667,0.558633,0.966167,0.911667,0.255833,11.6955,0.021,0.00656875,6.48334
0.018,0.00573088,1.10124,0.000757809,0.0417667,0.544933,0.954833,0.905333,0.2485,11.704,0.0333333,0.00707652,6.46864
0.019,0.00674604,1.09439,0.000943817,0.0531333,0.5295,0.9405,0.901833,0.246167,11.7122,0.0376667,0.00771247,6.44993
0.02,0.00762179,1.08621,0.001111,0.0639667,0.514433,0.923833,0.898,0.243833,11.7203,0.0378333,0.00823009,6.42725
0.021,0.00826412,1.07732,0.00124148,0.0729667,0.500933,0.904833,0.893333,0.235167,11.7275,0.0388333,0.00864399,6.40222
0.022,0.00893329,1.0677,0.00137255,0.0822,0.486067,0.888,0.890333,0.231333,11.7346,0.0468333,0.00910808,6.37483
0.023,0.00942348,1.05769,0.00145936,0.0891333,0.472467,0.868667,0.8855,0.2245,11.7413,0.049,0.0095342,6.34601
0.024,0.00991362,1.04733,0.00154771,0.0961,0.459067,0.85,0.879667,0.214667,11.7476,0.0526667,0.00992633,6.31589
0.025,0.0102835,1.03659,0.0016143,0.101667,0.446167,0.8265,0.874167,0.2085,11.7537,0.051,0.0102838,6.28452
0.026,0.0105205,1.02579,0.00165944,0.106167,0.435033,0.807333,0.868,0.209333,11.7595,0.0603333,0.0105526,6.25271
0.027,0.0107639,1.01493,0.00169355,0.1098,0.424033,0.7845,0.864167,0.2035,11.7652,0.0615,0.0108813,6.22054
0.028,0.01094,1.00424,0.00172346,0.112833,0.412933,0.7645,0.859833,0.193167,11.7707,0.0601667,0.011168,6.18878
0.029,0.0112716,0.99298,0.00178607,0.118033,0.399867,0.745333,0.856333,0.192333,11.7759,0.0586667,0.0114339,6.15526
0.03,0.0113771,0.981919,0.00180011,0.120233,0.3885,0.7255,0.851667,0.182833,11.7809,0.0635,0.0116519,6.12218
0.031,0.0114845,0.971018,0.00181627,0.122467,0.377267,0.707333,0.8485,0.170167,11.7856,0.07,0.0118516,6.08944
0.032,0.0116052,0.95997,0.00182431,0.124267,0.366,0.689333,0.843833,0.176167,11.7905,0.0641667,0.01207,6.05611
0.033,0.0117266,0.949158,0.00184072,0.1266,0.3554,0.667167,0.838833,0.169,11.7951,0.0626667,0.0122199,6.02334
0.034,0.0116502,0.938458,0.00182041,0.126433,0.3456,0.647333,0.834,0.160167,11.7995,0.0671667,0.0122876,5.99075
0.035,0.0116082,0.928005,0.00180969,0.126767,0.336033,0.628833,0.829333,0.158,11.8039,0.0686667,0.0124259,5.95877
0.036,0.0116656,0.917706,0.00181367,0.128033,0.3254,0.609333,0.824667,0.145167,11.808,0.0613333,0.0125718,5.92711
0.037,0.0118225,0.907263,0.00183831,0.130667,0.314667,0.591333,0.8195,0.144667,11.8121,0.0633333,0.012745,5.89487
0.038,0.0118849,0.896959,0.00183814,0.1317,0.3045,0.572,0.817,0.133333,11.816,0.0701667,0.0128709,5.86286
0.039,0.0118836,0.8867,0.00183119,0.131933,0.294367,0.555833,0.811,0.127,11.8198,0.0633333,0.0130167,5.83086
0.04,0.011865,0.876462,0.00181277,0.131567,0.285033,0.539167,0.8065,0.1275,11.8236,0.0686667,0.0131185,5.79876
0.041,0.0119082,0.866592,0.00180835,0.1323,0.2749,0.522,0.802667,0.126167,11.8273,0.0681667,0.0132459,5.76757
0.042,0.0117874,0.856727,0.00177606,0.1312,0.266133,0.507,0.799167,0.116,11.831,0.0701667,0.0132701,5.73614
0.043,0.0116471,0.847364,0.00173928,0.1295,0.2579,0.493167,0.796667,0.107667,11.8344,0.0641667,0.013299,5.70609
0.044,0.0116435,0.838239,0.00172983,0.1297,0.248267,0.4765,0.793667,0.110167,11.8377,0.0651667,0.0133849,5.67661
0.045,0.0115676,0.829217,0.00170036,0.1284,0.239833,0.461833,0.792667,0.1065,11.8411,0.0688333,0.0134447,5.64727
0.046,0.0114643,0.820408,0.00166505,0.126733,0.2328,0.449,0.791333,0.104333,11.8444,0.0705,0.0134839,5.61841
0.047,0.0113139,0.812054,0.00162414,0.1245,0.224233,0.4345,0.789167,0.101833,11.8476,0.065,0.0134683,5.59085
0.048,0.0111895,0.8039,0.00159233,0.1226,0.2153,0.419333,0.788333,0.0981667,11.8508,0.0636667,0.0134585,5.56385
0.049,0.0111115,0.796029,0.00156515,0.1213,0.2072,0.404833,0.787,0.0958333,11.8538,0.0636667,0.0134881,5.53761
0.05,0.0111371,0.788331,0.00155581,0.121433,0.199433,0.3915,0.785167,0.0905,11.8568,0.0663333,0.0135627,5.51171
0.051,0.0110621,0.780744,0.00153241,0.120333,0.191667,0.379333,0.7815,0.0893333,11.8597,0.069,0.0136032,5.48598
0.052,0.0110639,0.773299,0.0015156,0.119467,0.1827,0.364167,0.777667,0.0838333,11.8625,0.0696667,0.0136847,5.46057
0.053,0.0110114,0.766072,0.00149509,0.118633,0.174367,0.350667,0.776167,0.0791667,11.8651,0.0678333,0.0136907,5.43574
0.054,0.0109792,0.759482,0.00147293,0.117567,0.1674,0.3395,0.772167,0.0766667,11.8675,0.0655,0.0137202,5.41289
0.055,0.0109287,0.752422,0.00144404,0.116333,0.1598,0.329,0.769167,0.0733333,11.8701,0.0623333,0.0137531,5.3882
0.056,0.0108457,0.745825,0.00141527,0.114833,0.152567,0.319,0.767167,0.0713333,11.8725,0.0611667,0.0137549,5.36488
0.057,0.0108709,0.739237,0.00139912,0.114467,0.144667,0.307167,0.7645,0.07,11.875,0.0613333,0.013819,5.34135
0.058,0.0107427,0.733022,0.00136132,0.112333,0.1376,0.295,0.760833,0.0651667,11.8772,0.069,0.0138257,5.31894
